"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241120","7호선","이수","18367","17790","20241123"
"20241120","경강선","이천","2886","3091","20241123"
"20241120","경원선","이촌(국립중앙박물관)","4417","3401","20241123"
"20241120","4호선","이촌(국립중앙박물관)","9041","9931","20241123"
"20241120","6호선","이태원","11123","11489","20241123"
"20241120","과천선","인덕원","28546","29451","20241123"
"20241120","경인선","인천","3658","2816","20241123"
"20241120","수인선","인천","1010","1618","20241123"
"20241120","공항철도 1호선","인천공항1터미널","13649","13460","20241123"
"20241120","공항철도 1호선","인천공항2터미널","6815","5945","20241123"
"20241120","수인선","인천논현","6110","6430","20241123"
"20241120","수인선","인하대","8453","8028","20241123"
"20241120","경의선","일산","11457","11570","20241123"
"20241120","3호선","일원","12496","12358","20241123"
"20241120","경의선","임진강","15","5","20241123"
"20241120","7호선","자양(뚝섬한강공원)","8388","8296","20241123"
"20241120","2호선","잠실(송파구청)","82953","82852","20241123"
"20241120","8호선","잠실(송파구청)","19142","22210","20241123"
"20241120","2호선","잠실나루","17983","17264","20241123"
"20241120","2호선","잠실새내","26126","25112","20241123"
"20241120","3호선","잠원","5916","5560","20241123"
"20241120","7호선","장승배기","10485","10281","20241123"
"20241120","7호선","장암","3204","1280","20241123"
"20241120","8호선","장지","19774","18291","20241123"
"20241120","5호선","장한평","22836","22575","20241123"
"20241120","경원선","전곡","912","831","20241123"
"20241120","우이신설선","정릉","5405","4982","20241123"
"20241120","일산선","정발산","7333","7332","20241123"
"20241120","과천선","정부과천청사","14530","15287","20241123"
"20241120","안산선","정왕","11234","11431","20241123"
"20241120","분당선","정자","21322","22296","20241123"
"20241120","1호선","제기동","18235","18363","20241123"
"20241120","경인선","제물포","12165","11621","20241123"
"20241120","1호선","종각","43642","42823","20241123"
"20241120","5호선","종로3가","15778","15790","20241123"
"20241120","1호선","종로3가","27089","24416","20241123"
"20241120","3호선","종로3가","12303","13299","20241123"
"20241120","1호선","종로5가","24953","24148","20241123"
"20241120","2호선","종합운동장","8427","9271","20241123"
"20241120","9호선2~3단계","종합운동장","5325","5313","20241123"
"20241120","경인선","주안","19974","18349","20241123"
"20241120","일산선","주엽","10452","10959","20241123"
"20241120","분당선","죽전","15487","17211","20241123"
"20241120","7호선","중계","17227","16154","20241123"
"20241120","7호선","중곡","12594","11773","20241123"
"20241120","경인선","중동","9977","9298","20241123"
"20241120","중앙선","중랑","5702","5569","20241123"
"20241120","안산선","중앙","20073","20919","20241123"
"20241120","9호선2~3단계","중앙보훈병원","14077","12425","20241123"
"20241120","7호선","중화","12010","11928","20241123"
"20241120","9호선","증미","9329","9005","20241123"
"20241120","6호선","증산(명지대앞)","10780","10829","20241123"
"20241120","일산선","지축","2","0","20241123"
"20241120","3호선","지축","8512","8637","20241123"
"20241120","중앙선","지평","57","45","20241123"
"20241120","경원선","지행","6693","6820","20241123"
"20241120","경부선","직산","1057","1043","20241123"
"20241120","경부선","진위","1862","1693","20241123"
"20241120","경원선","창동","2","0","20241123"
"20241120","4호선","창동","29886","31587","20241123"
"20241120","6호선","창신","4261","3623","20241123"
"20241120","경춘선","천마산","1724","1608","20241123"
